Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
800,850,25715602271,20605846416,15496090561,10386334706,5276578851,166822996.1,199445994.8,232068993.5,264691992.2,297314990.9,329937989.6,263950391.7,197962793.8,131975195.8,65987597.92,0,73897402.04,147794804.1,221692206.1,295589608.1,369487010.2,368782808.1,368078606,367374403.9,366670201.8,365965999.7,365024601.3,364083203,363141804.7,362200406.4,361259008.1,359792803.6,358326599.2,356860394.8,355394190.4,353927986
850,900,0,0,0,0,0,0,0,0,0,0,0,2638359886,5276719772,7915079658,10553439544,13191799429,10553439544,7915079658,5276719772,2638359886,0,0,0,0,0,0,0,0,0,0,0,82153599.94,164307199.9,246460799.8,328614399.8,410767999.7
900,950,403615005.8,4534516542,8665418078,12796319614,16927221150,21058122686,19831412172,18604701658,17377991145,16151280631,14924570118,12178786087,9433002057,6687218026,3941433996,1195649966,3246814152,5297978339,7349142525,9400306712,11451470898,11143566907,10835662915,10527758923,10219854931,9911950940,8014922350,6117893761,4220865172,2323836583,426807993.8,341446395,256084796.3,170723197.5,85361598.76,0
950,1000,25535000488,20428000391,15321000293,10214000195,5107000098,0,0,0,0,0,0,0,0,0,0,0,37284599.97,74569199.93,111853799.9,149138399.9,186422999.8,186258798.9,186094598,185930397.1,185766196.2,185601995.3,1830310890,3475019784,5119728678,6764437573,8409146467,8201179130,7993211792,7785244455,7577277118,7369309780
1000,1050,52963998169,42371198535,31778398901,21185599267,10592799634,0,0,0,0,0,0,128033600,256067200.1,384100800.1,512134400.2,640168000.2,512134400.2,384100800.1,256067200.1,128033600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,1100,0,92274800.41,184549600.8,276824401.2,369099201.6,461374002,369099201.6,276824401.2,184549600.8,92274800.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,1150,594800978.4,475840782.7,356880587.1,237920391.4,118960195.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,1250,0,3441999853,6883999705,10325999558,13767999411,17209999263,13767999411,10325999558,6883999705,3441999853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,1300,43195001781,34556001425,25917001069,17278000712,8639000356,0,64896402.18,129792804.4,194689206.5,259585608.7,324482010.9,259585608.7,194689206.5,129792804.4,64896402.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,1350,16056999564,12903864653,9750729741,6597594830,3444459918,291325006.4,233060005.1,174795003.8,116530002.6,58265001.28,0,0,0,0,0,0,5199999.941,10399999.88,15599999.82,20799999.77,25999999.71,25859999.73,25719999.76,25579999.78,25439999.81,25299999.83,20239999.87,15179999.9,10119999.93,5059999.967,0,0,0,0,0,0
1350,1400,0,0,0,0,0,0,2173800021,4347600043,6521400064,8695200086,10869000107,8695200086,6521400064,4347600043,2173800021,0,0,0,0,0,0,0,0,0,0,0,4899999.84,9799999.68,14699999.52,19599999.36,24499999.2,19599999.36,14699999.52,9799999.68,4899999.84,0
1400,1450,0,0,0,0,0,0,0,0,0,0,0,60013000.62,120026001.2,180039001.9,240052002.5,300065003.1,240052002.5,180039001.9,120026001.2,60013000.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,1500,0,4379999.882,8759999.764,13139999.65,17519999.53,21899999.41,17519999.53,13139999.65,8759999.764,4379999.882,0,1738600060,3477200121,5215800181,6954400241,8693000302,6954400241,5215800181,3477200121,1738600060,0,10140000.09,20280000.17,30420000.26,40560000.34,50700000.43,50560000.09,50419999.75,50279999.41,50139999.08,49999998.74,49799998.67,49599998.6,49399998.53,49199998.47,48999998.4
1500,1550,0,0,0,0,0,0,0,0,0,0,0,4919999.992,9839999.984,14759999.98,19679999.97,24599999.96,1515500043,3006400086,4497300129,5988200172,7479100215,5983280172,4487460129,2991640086,1495820043,0,0,0,0,0,0,4700000.136,9400000.272,14100000.41,18800000.54,23500000.68
1550,1600,18400000.04,14720000.04,11040000.03,7360000.018,3680000.009,0,0,0,0,0,0,1444599978,2889199955,4333799933,5778399910,7222999888,5780639910,4338279933,2895919955,1453559977,11199999.79,1288360009,2565520019,3842680029,5119840039,6397000048,6228800025,6060600001,5892399978,5724199954,5555999931,4444799945,3333599959,2222399972,1111199986,0
