Policy:,waste - methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
700,750,439821.8891,351857.5113,263893.1335,175928.7557,87964.37783,0,539879.1636,1079758.327,1619637.491,2159516.654,2699395.818,2359855.168,2020314.518,1680773.867,1341233.217,1001692.567,965735.0688,929777.5705,893820.0722,857862.5739,821905.0756,657524.0604,493143.0453,328762.0302,164381.0151,0,86785.39416,173570.7883,260356.1825,347141.5766,433926.9708,347141.5766,260356.1825,173570.7883,86785.39416,0
750,800,1915229.632,2116522.467,2317815.301,2519108.136,2720400.971,2921693.806,2555151.277,2188608.748,1822066.219,1455523.69,1088981.161,1060600.022,1032218.884,1003837.745,975456.6058,947075.4669,929774.5358,912473.6046,895172.6734,877871.7422,860570.8111,857795.456,855020.1009,852244.7459,849469.3908,846694.0358,832227.2024,817760.3689,803293.5355,788826.7021,774359.8687,762394.8552,750429.8416,738464.8281,726499.8146,714534.8011
800,850,4266614.61,3977563.04,3688511.47,3399459.899,3110408.329,2821356.759,2442184.314,2063011.868,1683839.423,1304666.978,925494.5326,918773.6341,912052.7356,905331.8371,898610.9385,891890.04,723227.8495,554565.659,385903.4685,217241.2779,48579.08742,149823.5894,251068.0915,352312.5935,453557.0955,554801.5976,462385.9054,369970.2132,277554.5211,185138.8289,92723.13672,91307.59402,89892.05131,88476.50861,87060.9659,85645.4232
850,900,0,198085.0811,396170.1623,594255.2434,792340.3246,990425.4057,980996.1398,971566.8739,962137.608,952708.3421,943279.0762,774949.1118,606619.1474,438289.1831,269959.2187,101629.2543,100386.2423,99143.23016,97900.21807,96657.20597,95414.19388,209564.439,323714.6842,437864.9294,552015.1745,666165.4197,532932.3358,399699.2518,266466.1679,133233.0839,0,67456.06242,134912.1248,202368.1873,269824.2497,337280.3121
900,950,1063605.964,1054716.085,1045826.207,1036936.328,1028046.449,1019156.571,837137.3411,655118.1116,473098.882,291079.6525,109060.4229,87248.33833,65436.25375,43624.16917,21812.08458,0,236415.184,472830.3679,709245.5519,945660.7359,1182075.92,945660.7359,709245.5519,472830.3679,236415.184,0,121522.4074,243044.8149,364567.2223,486089.6297,607612.0371,25190838077,50381068541,75571299006,1.00762E+11,1.25952E+11
950,1000,1107141.202,909279.6134,711418.0249,513556.4365,315694.848,117833.2596,94266.60768,70699.95576,47133.30384,23566.65192,0,150263.4518,300526.9036,450790.3554,601053.8073,751317.2591,601053.8073,450790.3554,300526.9036,150263.4518,0,26065447828,52130895656,78196343484,1.04262E+11,1.30327E+11,1.29967E+11,1.29606E+11,1.29245E+11,1.28885E+11,1.28524E+11,1.31158E+11,1.33792E+11,1.36427E+11,1.39061E+11,1.41695E+11
1000,1050,128005.8939,106075.3416,84144.78927,62214.23696,40283.68465,18353.13235,175933.2676,333513.4029,491093.5381,648673.6734,806253.8086,26101283037,52201759819,78302236602,1.04403E+11,1.30503E+11,1.30613E+11,1.30723E+11,1.30833E+11,1.30943E+11,1.31052E+11,1.04842E+11,78631409341,52420939560,26210469780,0,28917814882,57835629764,86753444645,1.15671E+11,1.44589E+11,1.15671E+11,86753469498,57835667042,28917864586,62130.58157
1050,1100,20398.47402,190540.5838,360682.6937,530824.8035,700966.9133,871109.0231,21519042064,43037213020,64555383975,86073554930,1.07592E+11,1.15437E+11,1.23281E+11,1.31126E+11,1.38971E+11,1.46816E+11,1.46939E+11,1.47063E+11,1.47187E+11,1.4731E+11,1.47434E+11,1.47271E+11,1.47108E+11,1.46945E+11,1.46782E+11,1.46618E+11,1.17295E+11,87971055494,58647370329,29323685165,0,59194.08181,118388.1636,177582.2454,236776.3273,295970.4091
1100,1150,946312.5252,757050.0202,567787.5151,378525.0101,189262.505,0,125272.9689,250545.9378,375818.9067,501091.8755,626364.8444,501091.8755,375818.9067,250545.9378,125272.9689,0,0,0,0,0,0,129233.3124,258466.6248,387699.9372,516933.2496,646166.562,634807.4635,623448.3649,612089.2664,600730.1678,589371.0693,471496.8554,353622.6416,235748.4277,117874.2139,0
1150,1200,0,17318976867,34637953734,51956930601,69275907469,86594884336,93484048031,1.00373E+11,1.07262E+11,1.14152E+11,1.21041E+11,96832562249,72624421687,48416281124,24208140562,0,215148.4651,430296.9302,645445.3953,860593.8604,1075742.325,860593.8604,645445.3953,430296.9302,215148.4651,0,62551.60088,125103.2018,187654.8026,250206.4035,312758.0044,358690.9791,404623.9539,450556.9287,496489.9034,542422.8782
1200,1250,67608826136,73571037111,79533248085,85495459060,91457670034,97419881009,77935906462,58451931915,38967957368,19483982821,8274.167129,152371.7515,296469.3358,440566.9202,584664.5045,728762.0889,583009.6711,437257.2533,291504.8356,145752.4178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,1300,722030.5278,577624.4222,433218.3167,288812.2111,144406.1056,0,140688.5644,281377.1289,422065.6933,562754.2578,703442.8222,647131.1362,590819.4503,534507.7643,478196.0783,421884.3923,337507.5138,253130.6354,168753.7569,84376.87846,0,65376.36637,130752.7327,196129.0991,261505.4655,326881.8318,262764.6661,198647.5004,134530.3347,70413.16898,6296.003274,6232.571881,6169.140487,6105.709094,6042.2777,5978.846307
1300,1350,76059892774,60847914219,45635935664,30423957109,15211978555,0,20636.88775,41273.77551,61910.66326,82547.55102,103184.4388,84065.66554,64946.89231,45828.11908,26709.34585,7590.572615,8906.581161,10222.58971,11538.59825,12854.6068,14170.61535,25090.30992,36010.00449,46929.69906,57849.39363,68769.0882,66383.17451,63997.26082,61611.34714,59225.43345,56839.51976,110066.2943,163293.0688,216519.8434,269746.6179,322973.3925
1350,1400,0,168991.5209,337983.0417,506974.5626,675966.0835,844957.6043,675966.0835,506974.5626,337983.0417,168991.5209,0,4509.455565,9018.911129,13528.36669,18037.82226,22547.27782,29794.00548,37040.73315,44287.46081,51534.18847,58780.91613,136832.4124,214883.9087,292935.405,370986.9013,449038.3976,441265.8431,433493.2886,425720.734,417948.1795,410175.625,328140.5,246105.375,164070.25,82035.125,0
1400,1450,825641.6777,660513.3422,495385.0066,330256.6711,165128.3355,0,88179.22321,176358.4464,264537.6696,352716.8928,440896.1161,365238.8472,289581.5783,213924.3094,138267.0405,62609.77159,213938.9235,365268.0753,516597.2272,667926.3791,819255.531,655404.4248,491553.3186,327702.2124,163851.1062,0,53465.05532,106930.1106,160395.1659,213860.2213,267325.2766,285967.8204,304610.3643,323252.9082,341895.452,360537.9959
1450,1500,92261.76445,73809.41156,55357.05867,36904.70578,18452.35289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89109.15881,178218.3176,267327.4764,356436.6352,445545.794,437713.4474,429881.1007,422048.754,414216.4073,406384.0606,325107.2485,243830.4364,162553.6243,81276.81213,0
1500,1550,0,0,0,0,0,0,13437.56395,26875.1279,40312.69185,53750.2558,67187.81975,223319.8472,379451.8747,535583.9022,691715.9297,847847.9572,772631.8302,697415.7031,622199.5761,546983.4491,471767.3221,433293.3372,394819.3523,356345.3674,317871.3825,279397.3977,223517.9181,167638.4386,111758.9591,55879.47953,0,74802.45472,149604.9094,224407.3642,299209.8189,374012.2736
1550,1600,0,94365.69712,188731.3942,283097.0914,377462.7885,471828.4856,481425.4225,491022.3595,500619.2964,510216.2334,519813.1703,415850.5362,311887.9022,207925.2681,103962.6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
